LocationCode,LocationDescription,CoordinateNB,CoordinateOL
A121,A12 Platform ,55.416663,3.816671
AWG1,AWG Platform,53.491640,5.941140
"BSA (BSA1, BSA2)",Borssele Alpha platform,51.699921,3.056707
BTA1,Brent Alpha platform ,61.034890,1.705410
BTC1,Brent Charlie Platform,61.096110,1.721390
D151 (D152),D15 Platform ,54.316663,2.933333
EPL1 (EPL2),Europlatform ,51.997801,3.275075
F161,F16 Platform,54.116669,4.016670
F31,F3 Platform,54.849995,4.716658
GAN1,Gannet platform,57.185030,1.000000
HAEW1,Haewene Brim,57.160556,2.293056
HKN,Hollandse Kust Noord,52.697770,4.293500
HKZA,Hollandse Kust Zuid Alpha,52.319527,4.043129
J61 (J62),J6 Platform,53.816632,2.950010
K131 (K132),K13 Alpha,53.217010,3.218932
K141,K14 Platform,53.266670,3.633330
L91,L9 Platform,53.616669,4.966667
LEG1 (LEG2),LE Goeree,51.925745,3.669874
NC1,North Cormorant,61.338188,1.166099
NLS1,Nelson platform,57.661690,1.145000
