,LocationCode,LocationDescription,CoordinateNB,CoordinateOL,A121,AWG1,"BSA (BSA1, BSA2)",BTA1,BTC1,D151 (D152),EPL1 (EPL2),F161,F31,GAN1,HAEW1,HKN,HKZA,J61 (J62),K131 (K132),K141,L91,LEG1 (LEG2),NC1,NLS1,P111 (P112),A122,EPL3,HAEW2,K133,BUBW,DWE1,E131,IJG1,MMND,MUN1,MUN2,OS11b,OS4b,SCB2,SCHB,SMN1,SMWG,SPY1,STM1
0,A121,A12 Platform ,55.416663,3.816671,"(0.0, 0.0)","(137.33341147467934, -214.05279127408872)","(-50.195852436288156, -413.2828540467502)","(-123.61916484760567, 624.7183391374786)","(-122.57766532774292, 631.5256925466597)","(-56.525318377977264, -122.31441930901478)","(-35.646521833710594, -380.1601092978688)","(12.82977603101557, -144.55273746836616)","(57.20916624641494, -63.0106066918183)","(-173.77316155098814, 196.63343884565813)","(-94.02879533944045, 193.91205421095935)","(31.1220906458259, -302.32710768940444)","(14.847869403742877, -344.3858103282217)","(-55.80151939187938, -177.9153296740197)","(-38.769521685545804, -244.59025397848342)","(-11.884372189204786, -239.0683139213145)","(74.22636311196916, -200.1502007906456)","(-9.670089855695618, -388.1723709321693)","(-154.5333429520819, 658.4435379989206)","(-163.79795150147692, 249.63561258005436)","(-31.140323945897457, -340.0333073145745)","(-0.6105034870187236, -1.7416461360329931)","(-36.21288228215936, -380.1602204927959)","(-94.02879533944045, 193.91205421095935)","(-39.185428626145736, -244.74703882505185)","(-55.711557372709485, -402.7083277177795)","(-53.8518862765851, -385.7511014044847)","(-5.332539455907649, -378.8925983290478)","(29.642581570928918, -325.42785369981107)","(12.396134176558327, -380.7495536040116)","(16.144314271343053, -317.36844541661355)","(17.100010686521028, -316.96703173142674)","(-22.230224794700323, -419.57993393755834)","(-8.109713332503743, -418.17998981110276)","(-33.43134208158035, -408.05791563864904)","(-32.62115122996007, -407.42855235384144)","(151.63833182731233, -202.57858679363608)","(143.38246801697574, -210.21879020338403)","(45.86197779274623, -328.35050115173726)","(76.05502687325166, -232.4277529021012)"
1,AWG1,AWG Platform,53.49164,5.94114,"(-137.33341147467934, 214.05279127408872)","(0.0, 0.0)","(-194.82503812841802, -199.23006277266143)","(-254.70276243664782, 838.7711304115672)","(-253.53095794710285, 845.5784838207484)","(-197.03883685723517, 91.73837196507394)","(-179.4629026494688, -166.10731802378007)","(-126.37195339645731, 69.50005380572254)","(-79.70184184355352, 151.0421845822704)","(-312.47678096193334, 410.6862301197469)","(-230.77541395671406, 407.96484548504804)","(-110.01605375279574, -88.27431641531572)","(-127.29015519094148, -130.33301905413296)","(-197.11718934932605, 36.13746160006903)","(-180.66838180443918, -30.537462704394684)","(-153.07623933416218, -25.01552264722578)","(-64.37053141186996, 13.902590483443102)","(-153.01386297968978, -174.1195796580806)","(-285.9494723472337, 872.4963292730095)","(-301.47972931512913, 463.6884038541431)","(-174.26615102918475, -125.98051604048575)","(-137.9849705852173, 212.31114513805574)","(-180.0421397591531, -166.10742921870715)","(-230.77541395671406, 407.96484548504804)","(-181.09626718257775, -30.69424755096312)","(-200.3118671548728, -188.6555364436908)","(-198.16348556985986, -171.69831013039595)","(-148.44111524905594, -164.8398070549591)","(-111.87447566410675, -111.37506242572235)","(-130.3368214756909, -166.6967623299229)","(-125.56255467527207, -103.31565414252483)","(-124.57893332707751, -102.91424045733802)","(-166.31934109388655, -205.52714266346962)","(-151.8593466806923, -204.12719853701407)","(-177.60519548600232, -194.00512436456032)","(-176.76747636664305, -193.3757610797527)","(14.817051479416255, 11.474204480452649)","(6.249702655093922, 3.83400107070469)","(-95.32677972723185, -114.29770987764856)","(-62.98952570478325, -18.37496162801247)"
2,"BSA (BSA1, BSA2)",Borssele Alpha platform,51.699921,3.056707,"(50.195852436288156, 413.2828540467502)","(194.82503812841802, 199.23006277266143)","(0.0, 0.0)","(-83.22234270191294, 1038.0011931842287)","(-82.1721240499704, 1044.8085465934098)","(-8.254451549748698, 290.9684347377354)","(14.99955204309376, 33.12274474888137)","(64.3759131863606, 268.73011657838396)","(110.37320274974704, 350.27224735493184)","(-132.99094617392052, 609.9162928924083)","(-49.394012455297215, 607.1949082577095)","(84.29229766619214, 110.9557463573457)","(67.51423395999315, 68.89704371852848)","(-7.17994353433263, 235.36752437273046)","(10.991573412966583, 168.69260006826676)","(39.04712148822901, 174.21454012543566)","(128.8214571574124, 213.13265325610453)","(42.15173772356589, 25.110483114580823)","(-115.97320820127905, 1071.7263920456708)","(-122.89453293182153, 662.9184666268045)","(19.483720606584427, 73.24954673217567)","(49.56625317182248, 411.54120791071716)","(14.408480501577646, 33.12263355395428)","(-49.394012455297215, 607.1949082577095)","(10.557974217765386, 168.5358152216983)","(-5.814354445321231, 10.574526328970615)","(-3.968818117012573, 27.531752642265474)","(46.629548435636586, 34.39025571770234)","(82.86331165152795, 87.85500034693908)","(65.14144851046416, 32.53330044273852)","(68.72945693959065, 95.91440863013659)","(69.72524057590955, 96.31582231532342)","(29.212908194917368, -6.297079890808201)","(43.938140525796655, -4.897135764352626)","(17.46350914777561, 5.224938408101101)","(18.305461964760557, 5.854301692908739)","(209.7243404517721, 210.70426725311407)","(201.1294019128029, 203.0640638433661)","(99.81119400306923, 84.93235289501287)","(130.88389337703188, 180.85510114464896)"
3,BTA1,Brent Alpha platform ,61.03489,1.70541,"(123.61916484760567, -624.7183391374786)","(254.70276243664782, -838.7711304115672)","(83.22234270191294, -1038.0011931842287)","(0.0, 0.0)","(0.8596785516554719, 6.807353409181125)","(73.00861972903846, -747.0327584464933)","(96.29288503149051, -1004.8784484353473)","(137.7994096501437, -769.2710766058448)","(177.72094615885447, -687.7289458292969)","(-40.26945496684487, -428.0849002918204)","(33.55868461240172, -430.8062849265192)","(157.3002199549342, -927.045446826883)","(142.80077245499433, -969.1041494657002)","(74.5097881536234, -802.6336688114982)","(91.35006164692471, -869.3085931159619)","(116.28341089524196, -863.786653058793)","(195.77285112578377, -824.8685399281242)","(120.62681552880251, -1012.8907100696479)","(-28.902461515965463, 33.72519886144213)","(-31.769182893356458, -375.0827265574242)","(99.88947062478601, -964.751646452053)","(123.08005892398853, -626.4599852735115)","(95.76500278108492, -1004.8785596302744)","(33.55868461240172, -430.8062849265192)","(90.96539467901592, -869.4653779625304)","(77.92352652804362, -1027.4266668552582)","(79.4069276648994, -1010.4694405419632)","(124.52803847597451, -1003.6109374665264)","(156.28632007969136, -950.1461928372896)","(141.08083007539847, -1005.4678927414902)","(143.58756696419792, -942.0867845540921)","(144.47140864927596, -941.6853708689052)","(109.39327435158462, -1044.2982730750368)","(122.53922760268937, -1042.8983289485814)","(98.77574871692372, -1032.7762547761276)","(99.5217122061817, -1032.14689149132)","(267.8115963638323, -827.2969259311146)","(260.2639537833863, -834.9371293408626)","(171.44054822934666, -953.0688402892158)","(198.00169512410415, -857.1460920395797)"
4,BTC1,Brent Charlie Platform,61.09611,1.72139,"(122.57766532774292, -631.5256925466597)","(253.53095794710285, -845.5784838207484)","(82.1721240499704, -1044.8085465934098)","(-0.8596785516554719, -6.807353409181125)","(0.0, 0.0)","(71.99764743350804, -753.8401118556744)","(95.23558027781618, -1011.6858018445284)","(136.7315532258768, -776.0784300150259)","(176.6269941542751, -694.536299238478)","(-41.14491716639209, -434.89225370100155)","(32.616971301971255, -437.61363833570033)","(156.20100531017457, -933.8528002360641)","(141.70935811045442, -975.9115028748813)","(73.49160630453547, -809.4410222206793)","(90.31084446878758, -876.115946525143)","(115.22413490998716, -870.5940064679742)","(194.65126685327354, -831.6758933373053)","(119.54905480952479, -1019.698063478829)","(-29.729945505147555, 26.917845452261005)","(-32.64561468364044, -381.8900799666053)","(98.83337936213015, -971.5589998612342)","(122.03885033978038, -633.2673386826926)","(94.70812443910107, -1011.6859130394555)","(32.616971301971255, -437.61363833570033)","(89.92647919669919, -876.2727313717115)","(76.87867997967705, -1034.2340202644393)","(78.36267408295, -1017.2767939511443)","(123.44805110528694, -1010.4182908757075)","(155.18574372544637, -956.9535462464708)","(139.9872885037844, -1012.2752461506713)","(142.49812392619873, -948.8941379632732)","(143.38128268859927, -948.4927242780864)","(108.32139656802633, -1051.105626484218)","(121.45694071365645, -1049.7056823577625)","(97.71357309119779, -1039.5836081853088)","(98.45900139806321, -1038.9542449005012)","(266.6298021710756, -834.1042793402958)","(259.0878339527776, -841.7444827500437)","(170.32734420851304, -959.876193698397)","(196.87538261602168, -863.9534454487608)"
5,D151 (D152),D15 Platform ,54.316663,2.933333,"(56.525318377977264, 122.31441930901478)","(197.03883685723517, -91.73837196507394)","(8.254451549748698, -290.9684347377354)","(-73.00861972903846, 747.0327584464933)","(-71.99764743350804, 753.8401118556744)","(0.0, 0.0)","(22.785588976286526, -257.845689988854)","(70.43650252467424, -22.238318159351394)","(114.9165662384161, 59.30381261719648)","(-120.98738890768342, 318.94785815467293)","(-40.0809072411884, 316.22647351997415)","(89.94786744209765, -180.01268838038968)","(73.71789397494038, -222.07139101920689)","(1.0882418309311446, -55.60091036500491)","(18.770788542514055, -122.27583466946862)","(45.97958583972937, -116.75389461229972)","(133.00253995484152, -77.83578148163085)","(49.14994846132975, -265.8579516231545)","(-104.63455481933157, 780.7579573079355)","(-111.2286382229697, 371.9500318890691)","(27.099946000031455, -217.7188880055597)","(55.91732433715376, 120.57277317298178)","(22.21185234241741, -257.8458011837811)","(-40.0809072411884, 316.22647351997415)","(18.350329830212807, -122.43261951603706)","(2.6009085481059633, -280.39390840876473)","(4.378230992284908, -263.4366820954699)","(53.48657869110235, -256.578179020033)","(88.59040765515044, -203.1134343907963)","(71.45762410663923, -258.43513429499683)","(74.86511982034826, -195.0540261075988)","(75.8309236239218, -194.65261242241195)","(36.62141119049503, -297.2655146285436)","(50.91601050211617, -295.865570502088)","(25.203582762902084, -285.7434963296343)","(26.02035779014987, -285.11413304482664)","(211.4676710230735, -80.2641674846213)","(203.14622452654984, -87.90437089436925)","(105.04077732053732, -206.0360818427225)","(135.05129868489306, -110.11333359308641)"
6,EPL1 (EPL2),Europlatform ,51.997801,3.275075,"(35.646521833710594, 380.1601092978688)","(179.4629026494688, 166.10731802378007)","(-14.99955204309376, -33.12274474888137)","(-96.29288503149051, 1004.8784484353473)","(-95.23558027781618, 1011.6858018445284)","(-22.785588976286526, 257.845689988854)","(0.0, 0.0)","(49.56081903908534, 235.60737182950263)","(95.51920507755788, 317.1495026060505)","(-146.5755900746707, 576.7935481435269)","(-63.287256795439234, 574.0721635088281)","(69.17682784768105, 77.83300160846434)","(52.393206493505076, 35.77429896964711)","(-21.799670620964303, 202.2447796238491)","(-3.7910950419114533, 135.56985531938537)","(24.1776994462013, 141.09179537655427)","(113.7040262580425, 180.00990850722317)","(27.05039497219468, -8.01226163430054)","(-128.85939841604323, 1038.6036472967894)","(-136.4295329131728, 629.7957218779231)","(4.529223505521243, 40.12680198329431)","(35.01651617939019, 378.4184631618358)","(-0.5891137566928273, -0.00011119492708422385)","(-63.287256795439234, 574.0721635088281)","(-4.223462523299937, 135.41307047281694)","(-20.778864499440317, -22.54821841991075)","(-18.913942459330762, -5.590992106615891)","(31.52709238590172, 1.2675109688209762)","(67.71884373114872, 54.73225559805771)","(49.974934621480365, -0.589444306142841)","(53.64406976112247, 62.79166388125523)","(54.63711111213223, 63.19307756644205)","(14.10776566695221, -39.419824639689566)","(28.78659364578613, -38.01988051323399)","(2.414199275399571, -27.897806340780264)","(3.2543129369855626, -27.268443055972625)","(194.3275824556029, 177.5815225042327)","(185.75120305276212, 169.94131909448475)","(84.60584149961765, 51.80960814613151)","(115.71281207298846, 147.7323563957676)"
7,F161,F16 Platform,54.116669,4.01667,"(-12.82977603101557, 144.55273746836616)","(126.37195339645731, -69.50005380572254)","(-64.3759131863606, -268.73011657838396)","(-137.7994096501437, 769.2710766058448)","(-136.7315532258768, 776.0784300150259)","(-70.43650252467424, 22.238318159351394)","(-49.56081903908534, -235.60737182950263)","(0.0, 0.0)","(45.217513148387106, 81.54213077654786)","(-189.26591756379844, 341.1861763140243)","(-108.17335892798236, 338.4647916793255)","(18.34993467322757, -157.77437022103828)","(1.7616470358234726, -199.8330728598555)","(-69.77139123625344, -33.36259220565351)","(-52.5555511062711, -100.03751651011723)","(-25.239830440360514, -94.51557645294832)","(62.28930860663597, -55.597463322279445)","(-23.195763786618993, -243.61963346380315)","(-169.2448692902399, 802.9962754672869)","(-179.07044817076232, 394.18835004842055)","(-44.93245044112822, -195.4805698462083)","(-13.452765768216782, 142.81109133233318)","(-50.135892063178154, -235.60748302442968)","(-108.17335892798236, 338.4647916793255)","(-52.9782057786072, -100.19430135668567)","(-69.96276644273192, -258.15559024941336)","(-68.0532731507422, -241.1983639361185)","(-18.7787599213656, -234.33986086068163)","(16.81325650999595, -180.8751162314449)","(-0.7799544728935102, -236.19681613564546)","(3.117070325900844, -172.8157079482474)","(4.088201622493177, -172.41429426306055)","(-35.99084263987984, -275.0271964691922)","(-21.652601466620908, -273.6272523427366)","(-47.348083013377355, -263.5051781702829)","(-46.524661489521634, -262.8758148854752)","(140.92383240110726, -58.025849325269895)","(132.52351278771414, -65.66605273501786)","(33.279993733841835, -183.7977636833711)","(64.0950359581106, -87.87501543373502)"
8,F31,F3 Platform,54.849995,4.716658,"(-57.20916624641494, 63.0106066918183)","(79.70184184355352, -151.0421845822704)","(-110.37320274974704, -350.27224735493184)","(-177.72094615885447, 687.7289458292969)","(-176.6269941542751, 694.536299238478)","(-114.9165662384161, -59.30381261719648)","(-95.51920507755788, -317.1495026060505)","(-45.217513148387106, -81.54213077654786)","(0.0, 0.0)","(-230.9948833959078, 259.6440455374764)","(-150.677579915528, 256.92266090277764)","(-27.807087109568634, -239.31650099758613)","(-44.45895665935325, -281.37520363640334)","(-114.53940113281143, -114.90472298220138)","(-97.81068205094904, -181.5796472866651)","(-70.70569623737168, -176.0577072294962)","(16.248547092036702, -137.1395940988273)","(-69.41861022943897, -325.16176424035103)","(-208.66420960425947, 721.454144690739)","(-220.61118275450696, 312.64621927187267)","(-90.73072692743185, -277.0227006227562)","(-57.835262589258406, 61.26896055578531)","(-96.08937300322837, -317.1496138009776)","(-150.677579915528, 256.92266090277764)","(-98.23043748771299, -181.73643213323354)","(-115.85984132091568, -339.69772102596124)","(-113.88186082218306, -322.74049471266636)","(-64.99348065650848, -315.88199163722953)","(-29.44369955289052, -262.4172470079928)","(-47.15735707977517, -317.73894691219334)","(-42.98236690400866, -254.35783872479524)","(-42.01763112211305, -253.95642503960843)","(-82.26010601689025, -356.56932724574006)","(-68.03650054466866, -355.1693831192845)","(-93.46391927998474, -345.04730894683075)","(-92.64436719866636, -344.4179456620231)","(94.18068013461551, -139.56798010181777)","(85.81773792666591, -147.20818351156572)","(-13.132936715041335, -265.339894459919)","(17.881550462291695, -169.41714621028288)"
9,GAN1,Gannet platform,57.18503,1.0,"(173.77316155098814, -196.63343884565813)","(312.47678096193334, -410.6862301197469)","(132.99094617392052, -609.9162928924083)","(40.26945496684487, 428.0849002918204)","(41.14491716639209, 434.89225370100155)","(120.98738890768342, -318.94785815467293)","(146.5755900746707, -576.7935481435269)","(189.26591756379844, -341.1861763140243)","(230.9948833959078, -259.6440455374764)","(0.0, 0.0)","(77.94487357460511, -2.721384634698788)","(210.36215309891995, -498.9605465350626)","(195.2836921150415, -541.0192491738798)","(122.81196298070641, -374.5487685196778)","(140.81082367146178, -441.22369282414155)","(167.00381832349262, -435.7017527669726)","(250.45530088794723, -396.78363963630375)","(172.16330575885323, -584.8058097778274)","(9.440042958190633, 461.81009915326257)","(8.681205132254014, 53.00217373439621)","(150.1861116490503, -536.6667461602326)","(173.2120061138986, -198.37508498169112)","(146.02120005478298, -576.7936593384541)","(77.94487357460511, -2.721384634698788)","(140.40704605614553, -441.38047767071)","(127.38167479135163, -599.3417665634377)","(128.86588885209838, -582.3845402501428)","(176.22361291800186, -575.526037174706)","(209.38121142144632, -522.0612925454692)","(193.6148522229755, -577.3829924496698)","(196.0083120398413, -514.0018842622717)","(196.93550998876904, -513.6004705770848)","(160.4942187599236, -616.2133727832165)","(174.2903078667824, -614.813428656761)","(149.29920800015802, -604.6913544843072)","(150.07983741409473, -604.0619911994995)","(326.2327530963199, -399.2120256392942)","(318.3149803575838, -406.8522290490422)","(225.31396987188322, -524.9839399973954)","(252.90545328104662, -429.0611917477593)"
